                                                                                                             
{'loss': '0.1222', 'grad_norm': '0.1919', 'learning_rate': '0.0001552', 'epoch': '0.6732'}
{'loss': '0.108', 'grad_norm': '0.3386', 'learning_rate': '0.0001548', 'epoch': '0.6783'}
{'loss': '0.104', 'grad_norm': '0.2031', 'learning_rate': '0.0001545', 'epoch': '0.6835'}
{'loss': '0.1277', 'grad_norm': '0.2267', 'learning_rate': '0.0001541', 'epoch': '0.6886'}
{'loss': '0.1169', 'grad_norm': '0.1964', 'learning_rate': '0.0001538', 'epoch': '0.6937'}
{'loss': '0.1134', 'grad_norm': '0.2293', 'learning_rate': '0.0001534', 'epoch': '0.6989'}
{'loss': '0.1097', 'grad_norm': '0.3341', 'learning_rate': '0.0001531', 'epoch': '0.704'}
{'loss': '0.1073', 'grad_norm': '0.2019', 'learning_rate': '0.0001528', 'epoch': '0.7091'}
{'loss': '0.1131', 'grad_norm': '0.2648', 'learning_rate': '0.0001524', 'epoch': '0.7143'}
{'loss': '0.1139', 'grad_norm': '0.1714', 'learning_rate': '0.0001521', 'epoch': '0.7194'}
{'loss': '0.1059', 'grad_norm': '0.3177', 'learning_rate': '0.0001517', 'epoch': '0.7246'}
{'loss': '0.1097', 'grad_norm': '0.3762', 'learning_rate': '0.0001514', 'epoch': '0.7297'}
{'loss': '0.1059', 'grad_norm': '0.3903', 'learning_rate': '0.000151', 'epoch': '0.7348'}
{'loss': '0.1287', 'grad_norm': '0.3031', 'learning_rate': '0.0001507', 'epoch': '0.74'}
{'loss': '0.1192', 'grad_norm': '0.2595', 'learning_rate': '0.0001504', 'epoch': '0.7451'}
{'loss': '0.1039', 'grad_norm': '0.1826', 'learning_rate': '0.00015', 'epoch': '0.7503'}
{'loss': '0.1103', 'grad_norm': '0.2389', 'learning_rate': '0.0001497', 'epoch': '0.7554'}
{'loss': '0.1168', 'grad_norm': '0.2111', 'learning_rate': '0.0001493', 'epoch': '0.7605'}
{'loss': '0.1068', 'grad_norm': '0.3965', 'learning_rate': '0.000149', 'epoch': '0.7657'}
{'loss': '0.09774', 'grad_norm': '0.3783', 'learning_rate': '0.0001486', 'epoch': '0.7708'}
{'loss': '0.1065', 'grad_norm': '0.3025', 'learning_rate': '0.0001483', 'epoch': '0.776'}
{'loss': '0.09506', 'grad_norm': '0.3838', 'learning_rate': '0.000148', 'epoch': '0.7811'}
{'loss': '0.1046', 'grad_norm': '0.2693', 'learning_rate': '0.0001476', 'epoch': '0.7862'}
